ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
21972,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,10,258,1417192
21973,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,10,258,1417192
21974,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,8,258,1417192
21975,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,20,258,1417192
21976,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,17,258,1417192
21977,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,9,258,1417192
21978,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,8,258,1417192
21979,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,13,258,1417192
21980,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,12,258,1417192
21981,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,10,258,1417192
21982,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,6,258,1417192
21983,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets,301,Moved Permanently,3,199,169
21984,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/,200,OK,2,239,1941
21985,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/assets/,403,Forbidden,9,155,555
21986,Tue Mar 26 21:44:07 GMT 2024,Tue Mar 26 21:44:07 GMT 2024,GET,http://localhost:9991/,200,OK,3,239,1941
